# 建筑ID	建筑名称	建筑图示	建筑类别	消耗&冷却系数	出现依赖官府等级	建筑最大等级	系数仅指【冷却时间】、【消耗铜币】均为官府的多少倍，取整。【繁荣度】和【君主经验】所有建筑均相同
510101	官府	guanfu	510100	1	1	100	
510201	城墙	chengqiang	510200	0.9	1	100	
510301	书院	shuyuan	510300	0.8	11	100	
510401	训练场	xunlianchang	510400	0.8	18	100	
510501	铁匠铺	tiejiangpu	510500	0.8	12	100	
510601	市场	shichang	510600	0.7	15	100	
510701	粮仓	liangcang	510700	0.7	6	100	
510801	酒馆	jiuguan	510800	0	5	1	
510901	外使院	waishiyuan	510900	0	10	1	
511001	军营一	junying	511000	0.4	14	100	
511002	军营二	junying	511000	0.4	14	100	
511003	军营三	junying	511000	0.4	16	100	
511004	军营四	junying	511000	0.4	20	100	
511005	军营五	junying	511000	0.4	20	100	
511101	民居一	minju	511100	0.4	2	100	
511102	民居二	minju	511100	0.4	3	100	
511103	民居三	minju	511100	0.4	4	100	
511104	民居四	minju	511100	0.4	7	100	
511105	民居五	minju	511100	0.4	8	100	
511106	民居六	minju	511100	0.4	9	100	
511107	民居七	minju	511100	0.4	17	100	
511108	民居八	minju	511100	0.4	17	100	
511109	民居九	minju	511100	0.4	25	100	
511110	民居十	minju	511100	0.4	25	100	
