# 官府等级	消耗铜币（等级）	冷却时间（等级，min）	提供繁荣度（非累计）	君主经验（非累计）
1	0	0	10	10
2	500	5	20	20
3	1000	10	30	30
4	1500	15	40	40
5	2000	20	50	50
6	2500	25	60	60
7	3000	30	70	70
8	3500	35	80	80
9	4000	40	90	90
10	4500	45	100	100
11	5000	50	110	110
12	5500	55	120	120
13	6000	60	130	130
14	6500	65	140	140
15	7000	70	150	150
16	7500	75	160	160
17	8000	80	170	170
18	8500	85	180	180
19	9000	90	190	190
20	9500	95	200	200
21	10000	100	210	210
22	10500	105	220	220
23	11000	110	230	230
24	11500	115	240	240
25	12000	120	250	250
26	12500	125	260	260
27	13000	130	270	270
28	13500	135	280	280
29	14000	140	290	290
30	14500	145	300	300
31	15000	150	310	310
32	16000	160	320	320
33	17000	170	330	330
34	18000	180	340	340
35	19000	190	350	350
36	20000	200	360	360
37	21000	210	370	370
38	22000	220	380	380
39	23000	230	390	390
40	24000	240	400	400
41	25000	250	410	410
42	26000	260	420	420
43	27000	270	430	430
44	28000	280	440	440
45	29000	290	450	450
46	30000	300	460	460
47	31000	310	470	470
48	32000	320	480	480
49	33000	330	490	490
50	34000	340	500	500
51	35000	350	510	510
52	36000	360	520	520
53	37000	370	530	530
54	38000	380	540	540
55	39000	390	550	550
56	40000	400	560	560
57	41000	410	570	570
58	42000	420	580	580
59	43000	430	590	590
60	44000	440	600	600
61	45000	450	610	610
62	47000	465	620	620
63	49000	480	630	630
64	51000	495	640	640
65	53000	510	650	650
66	55000	525	660	660
67	57000	540	670	670
68	59000	555	680	680
69	61000	570	690	690
70	63000	585	700	700
71	65000	600	710	710
72	67000	615	720	720
73	69000	630	730	730
74	71000	645	740	740
75	73000	660	750	750
76	75000	675	760	760
77	77000	690	770	770
78	79000	705	780	780
79	81000	720	790	790
80	83000	735	800	800
81	85000	750	810	810
82	87000	765	820	820
83	89000	780	830	830
84	91000	795	840	840
85	93000	810	850	850
86	95000	825	860	860
87	97000	840	870	870
88	99000	855	880	880
89	101000	870	890	890
90	103000	885	900	900
91	105000	900	910	910
92	110000	930	920	920
93	115000	960	930	930
94	120000	990	940	940
95	125000	1020	950	950
96	130000	1050	960	960
97	135000	1080	970	970
98	140000	1110	980	980
99	145000	1140	990	990
100	150000	1170	1000	1000
