# 装备ID	装备名称	装备图示	装备分类	装备品质	限制等级	近攻	远攻	近防	远防	兵力	强化消耗系数	出售价格	装备说明
211101	白近武	baijinwu	210100	White	1	200	0	0	0	0	1	500	白色的近攻武器，普普通通，军中士兵所用
211102	白远武	baiyuanwu	210100	White	1	0	200	0	0	0	1	500	白色的远攻武器，普普通通，军中士兵所用
211201	白战马	baizhanma	210200	White	1	100	100	0	0	0	0.6	500	白色的战马，普普通通，军中士兵所用
211301	白铠甲	baikaijia	210300	White	1	0	0	100	50	0	0.7	500	白色的铠甲，普普通通，军中士兵所用
211401	白头盔	baitoukui	210400	White	1	0	0	50	100	0	0.7	500	白色的头盔，普普通通，军中士兵所用
211501	白饰品	baishipin	210500	White	1	0	0	0	0	100	1.5	500	白色的兵符，普普通通，军中士兵所用
212101	绿近武	lvjinwu	210100	Green	10	300	0	0	0	0	2	1000	绿色的近攻武器
212102	绿远武	lvyuanwu	210100	Green	10	0	300	0	0	0	2	1000	绿色的远攻武器
212201	绿战马	lvzhanma	210200	Green	10	200	200	0	0	0	1.2	1000	绿色的战马
212301	绿铠甲	lvkaijia	210300	Green	10	0	0	150	100	0	1.4	1000	绿色的铠甲
212401	绿头盔	lvtoukui	210400	Green	10	0	0	100	150	0	1.4	1000	绿色的头盔
212501	绿饰品	lvshipin	210500	Green	10	0	0	0	0	150	3	1000	绿色的兵符
213101	蓝近武	lanjinwu	210100	Blue	30	450	0	0	0	0	3	2000	蓝色的近攻武器
213102	蓝远武	lanyuanwu	210100	Blue	30	0	450	0	0	0	3	2000	蓝色的远攻武器
213201	蓝战马	lanzhanma	210200	Blue	30	300	300	0	0	0	1.8	2000	蓝色的战马
213301	蓝铠甲	lankaijia	210300	Blue	30	0	0	200	150	0	2.1	2000	蓝色的铠甲
213401	蓝头盔	lantoukui	210400	Blue	30	0	0	150	200	0	2.1	2000	蓝色的头盔
213501	蓝饰品	lanshipin	210500	Blue	30	0	0	0	0	250	4.5	2000	蓝色的兵符
214101	黄近武	huangjinwu	210100	Yellow	50	700	0	0	0	0	5	4000	黄色的近攻武器
214102	黄远武	huangyuanwu	210100	Yellow	50	0	700	0	0	0	5	4000	黄色的远攻武器
214201	黄战马	huangzhanma	210200	Yellow	50	500	500	0	0	0	3	4000	黄色的战马
214301	黄铠甲	huangkaijia	210300	Yellow	50	0	0	350	200	0	3.5	4000	黄色的铠甲
214401	黄头盔	huangtoukui	210400	Yellow	50	0	0	200	350	0	3.5	4000	黄色的头盔
214501	黄饰品	huangshipin	210500	Yellow	50	0	0	0	0	500	7.5	4000	黄色的兵符
215101	紫近武	zijinwu	210100	Purple	70	1100	0	0	0	0	7	8000	紫色的近攻武器
215102	紫远武	ziyuanwu	210100	Purple	70	0	1100	0	0	0	7	8000	紫色的远攻武器
215201	紫战马	zizhanma	210200	Purple	70	800	800	0	0	0	4.2	8000	紫色的战马
215301	紫铠甲	zikaijia	210300	Purple	70	0	0	500	300	0	4.9	8000	紫色的铠甲
215401	紫头盔	zitoukui	210400	Purple	70	0	0	300	500	0	4.9	8000	紫色的头盔
215501	紫饰品	zishipin	210500	Purple	70	0	0	0	0	800	10.5	8000	紫色的兵符
216101	红近武	hongjinwu	210100	Red	80	1500	0	0	0	0	10	15000	红色的近攻武器
216102	红远武	hongyuanwu	210100	Red	80	0	1500	0	0	0	10	15000	红色的远攻武器
216201	红战马	hongzhanma	210200	Red	80	1100	1100	0	0	0	6	15000	红色的战马
216301	红铠甲	hongkaijia	210300	Red	80	0	0	700	400	0	7	15000	红色的铠甲
216401	红头盔	hongtoukui	210400	Red	80	0	0	400	700	0	7	15000	红色的头盔
216501	红饰品	hongshipin	210500	Red	80	0	0	0	0	1000	15	15000	红色的兵符
