# 宝石ID	宝石名称	宝石图示	品质	类别	宝石等级	近攻	远攻	近防	远防	兵力	出售价格
220101	近攻宝石1级	jingongbaoshi1ji	White	220100	1	50	0	0	0	0	1000
220102	近攻宝石2级	jingongbaoshi2ji	Green	220100	2	100	0	0	0	0	2000
220103	近攻宝石3级	jingongbaoshi3ji	Green	220100	3	200	0	0	0	0	3000
220104	近攻宝石4级	jingongbaoshi4ji	Blue	220100	4	300	0	0	0	0	4000
220105	近攻宝石5级	jingongbaoshi5ji	Blue	220100	5	400	0	0	0	0	5000
220106	近攻宝石6级	jingongbaoshi6ji	Yellow	220100	6	500	0	0	0	0	6000
220107	近攻宝石7级	jingongbaoshi7ji	Yellow	220100	7	700	0	0	0	0	7000
220108	近攻宝石8级	jingongbaoshi8ji	Purple	220100	8	900	0	0	0	0	8000
220109	近攻宝石9级	jingongbaoshi9ji	Purple	220100	9	1200	0	0	0	0	9000
220110	近攻宝石10级	jingongbaoshi10ji	Red	220100	10	1500	0	0	0	0	10000
220201	远攻宝石1级	yuangongbaoshi1ji	White	220200	1	0	50	0	0	0	1000
220202	远攻宝石2级	yuangongbaoshi2ji	Green	220200	2	0	100	0	0	0	2000
220203	远攻宝石3级	yuangongbaoshi3ji	Green	220200	3	0	200	0	0	0	3000
220204	远攻宝石4级	yuangongbaoshi4ji	Blue	220200	4	0	300	0	0	0	4000
220205	远攻宝石5级	yuangongbaoshi5ji	Blue	220200	5	0	400	0	0	0	5000
220206	远攻宝石6级	yuangongbaoshi6ji	Yellow	220200	6	0	500	0	0	0	6000
220207	远攻宝石7级	yuangongbaoshi7ji	Yellow	220200	7	0	700	0	0	0	7000
220208	远攻宝石8级	yuangongbaoshi8ji	Purple	220200	8	0	900	0	0	0	8000
220209	远攻宝石9级	yuangongbaoshi9ji	Purple	220200	9	0	1200	0	0	0	9000
220210	远攻宝石10级	yuangongbaoshi10ji	Red	220200	10	0	1500	0	0	0	10000
220301	近防宝石1级	jinfangbaoshi1ji	White	220300	1	0	0	50	0	0	1000
220302	近防宝石2级	jinfangbaoshi2ji	Green	220300	2	0	0	100	0	0	2000
220303	近防宝石3级	jinfangbaoshi3ji	Green	220300	3	0	0	200	0	0	3000
220304	近防宝石4级	jinfangbaoshi4ji	Blue	220300	4	0	0	300	0	0	4000
220305	近防宝石5级	jinfangbaoshi5ji	Blue	220300	5	0	0	400	0	0	5000
220306	近防宝石6级	jinfangbaoshi6ji	Yellow	220300	6	0	0	500	0	0	6000
220307	近防宝石7级	jinfangbaoshi7ji	Yellow	220300	7	0	0	700	0	0	7000
220308	近防宝石8级	jinfangbaoshi8ji	Purple	220300	8	0	0	900	0	0	8000
220309	近防宝石9级	jinfangbaoshi9ji	Purple	220300	9	0	0	1200	0	0	9000
220310	近防宝石10级	jinfangbaoshi10ji	Red	220300	10	0	0	1500	0	0	10000
220401	远防宝石1级	yuanfangbaoshi1ji	White	220400	1	0	0	0	50	0	1000
220402	远防宝石2级	yuanfangbaoshi2ji	Green	220400	2	0	0	0	100	0	2000
220403	远防宝石3级	yuanfangbaoshi3ji	Green	220400	3	0	0	0	200	0	3000
220404	远防宝石4级	yuanfangbaoshi4ji	Blue	220400	4	0	0	0	300	0	4000
220405	远防宝石5级	yuanfangbaoshi5ji	Blue	220400	5	0	0	0	400	0	5000
220406	远防宝石6级	yuanfangbaoshi6ji	Yellow	220400	6	0	0	0	500	0	6000
220407	远防宝石7级	yuanfangbaoshi7ji	Yellow	220400	7	0	0	0	700	0	7000
220408	远防宝石8级	yuanfangbaoshi8ji	Purple	220400	8	0	0	0	900	0	8000
220409	远防宝石9级	yuanfangbaoshi9ji	Purple	220400	9	0	0	0	1200	0	9000
220410	远防宝石10级	yuanfangbaoshi10ji	Red	220400	10	0	0	0	1500	0	10000
220501	兵力宝石1级	binglibaoshi1ji	White	220500	1	0	0	0	0	30	1000
220502	兵力宝石2级	binglibaoshi2ji	Green	220500	2	0	0	0	0	60	2000
220503	兵力宝石3级	binglibaoshi3ji	Green	220500	3	0	0	0	0	120	3000
220504	兵力宝石4级	binglibaoshi4ji	Blue	220500	4	0	0	0	0	180	4000
220505	兵力宝石5级	binglibaoshi5ji	Blue	220500	5	0	0	0	0	240	5000
220506	兵力宝石6级	binglibaoshi6ji	Yellow	220500	6	0	0	0	0	300	6000
220507	兵力宝石7级	binglibaoshi7ji	Yellow	220500	7	0	0	0	0	420	7000
220508	兵力宝石8级	binglibaoshi8ji	Purple	220500	8	0	0	0	0	540	8000
220509	兵力宝石9级	binglibaoshi9ji	Purple	220500	9	0	0	0	0	720	9000
220510	兵力宝石10级	binglibaoshi10ji	Red	220500	10	0	0	0	0	900	10000
