# 武将ID	武将名称	招募类型	招募数值	武将图示	品质	国家	统率	武力	智力	步兵	弓兵	枪兵	骑兵	器械	专属技能ID	命中	闪避	格挡	破击	暴击	韧性	简介
101001	曹操	190100	0	caocao	Red	101000	97	87	88	S	0	0	S	0	0	0	0	0	0	0	0	曹操（155－220），字孟德，小字阿瞒，汉族，沛国谯县（今安徽亳州）人。中国东汉末年著名的军事家、政治家和诗人，三国时代魏国的奠基人和主要缔造者，后为魏王。
101002	司马懿	190100	0	simayi	Red	101000	93	79	96	S	0	S	0	0	0	0	0	0	0	0	0	司马懿（179－251），字仲达，汉族，河内郡温县孝敬里（今属河南温县）人。三国时期魏国杰出的政治家、军事家，西晋王朝的奠基人。平生最显著的功绩是多次亲率大军成功对抗诸葛亮的北伐。
101003	张辽	190100	0	zhangliao	Red	101000	95	93	77	S	0	0	S	0	0	0	0	0	0	0	0	张辽（169－222），字文远，雁门马邑（今山西朔城区大夫庄）人。三国时期曹魏著名将领。曾在合肥郊外逍遥津率领八百勇士大败孙权十万大军。后人将他与乐进、于禁、张郃、徐晃并称为曹魏的“五子良将”。
101004	许褚	190300	0	xuchu	Red	101000	90	96	75	S	0	S	0	0	0	0	0	0	0	0	0	简介欠奉，后续再补
101005	夏侯惇	190300	0	xiahoudun	Red	101000	93	90	77	0	0	S	S	0	0	0	0	0	0	0	0	简介欠奉，后续再补
101006	夏侯渊	190300	0	xiahouyuan	Purple	101000	91	87	81	0	S	0	A	0	0	0	0	0	0	0	0	简介欠奉，后续再补
101007	徐晃	192200	700	xuhuang	Purple	101000	92	92	74	S	0	0	A	0	0	0	0	0	0	0	0	徐晃（165－227），字公明，河东杨（今山西洪洞东南）人。三国时期曹魏名将。本为杨奉帐下骑都尉，杨奉被曹操击败后转投曹操，在曹操手下多立功勋
101008	典韦	190100	0	dianwei	Purple	101000	90	95	73	S	0	A	0	0	0	0	0	0	0	0	0	典韦（160－197），陈留己吾（今河南商丘市宁陵县己吾城村）人。东汉末年曹操部将。相貌魁梧，膂力过人。建安二年（197），张绣背叛曹操，典韦为保护曹操而独挡叛军，击杀多人，但最终因寡不敌众而战死。
101009	庞德	191400	300000	pangde	Purple	101000	92	94	72	S	0	0	A	0	0	0	0	0	0	0	0	简介欠奉，后续再补
101010	郭嘉	191500	16	guojia	Purple	101000	85	72	98	0	S	0	0	A	0	0	0	0	0	0	0	简介欠奉，后续再补
101011	张郃	191200	0	zhanghe	Purple	101000	88	89	75	0	S	0	A	0	0	0	0	0	0	0	0	简介欠奉，后续再补
101012	甄姬	190200	0	zhenji	Purple	101000	89	79	83	0	A	S	0	0	0	0	0	0	0	0	0	简介欠奉，后续再补
101013	荀彧	192200	300	xunyu	Yellow	101000	80	70	97	A	0	0	0	A	0	0	0	0	0	0	0	简介欠奉，后续再补
