# 武将等级	累计总经验	潜能上限
1	0	0
2	1000	0
3	3000	0
4	6000	0
5	10000	0
6	15000	0
7	21000	0
8	28000	0
9	36000	0
10	45000	0
11	56000	5
12	69000	5
13	84000	5
14	101000	5
15	120000	5
16	141000	5
17	164000	5
18	189000	5
19	216000	5
20	245000	5
21	277000	5
22	312000	9
23	350000	9
24	391000	9
25	435000	9
26	482000	9
27	532000	9
28	585000	9
29	641000	9
30	700000	9
31	763000	9
32	830000	9
33	901000	9
34	976000	9
35	1055000	9
36	1138000	9
37	1225000	12
38	1316000	12
39	1411000	12
40	1510000	12
41	1614000	12
42	1723000	12
43	1837000	12
44	1956000	12
45	2080000	12
46	2209000	12
47	2343000	12
48	2482000	12
49	2626000	12
50	2775000	12
51	2930000	12
52	3091000	16
53	3258000	16
54	3431000	16
55	3610000	16
56	3795000	16
57	3986000	16
58	4183000	16
59	4386000	16
60	4595000	16
61	4811000	16
62	5034000	16
63	5264000	16
64	5501000	16
65	5745000	16
66	5996000	16
67	6254000	20
68	6519000	20
69	6791000	20
70	7070000	20
71	7357000	20
72	7652000	20
73	7955000	20
74	8266000	20
75	8585000	20
76	8912000	20
77	9247000	20
78	9590000	20
79	9941000	20
80	10300000	20
81	10668000	20
82	11045000	30
83	11431000	30
84	11826000	30
85	12230000	30
86	12643000	30
87	13065000	30
88	13496000	30
89	13936000	30
90	14385000	30
91	14844000	30
92	15313000	30
93	15792000	30
94	16281000	30
95	16780000	30
96	17289000	30
97	17808000	30
98	18337000	30
99	18876000	30
100	19425000	30
