# 爵位ID	爵位名称	爵位图示	君主等级	所需威望	君主俸禄	属臣数量	攻防加成
610001	平民	pingmin	1	0	500	0	0
610002	亭侯	tinghou	10	0	1000	0	0
610003	乡侯	xianghou	15	0	1500	0	0
610004	县侯	xianhou	20	0	2000	0	0
610005	都尉	duwei	25	0	2500	0	0
610006	助军校尉	zhujunxiaowei	30	0	3000	0	0
610007	典军校尉	dianjunxiaowei	30	100	5000	0	0
610008	步兵校尉	bubingxiaowei	30	500	6000	0	0
610009	长水校尉	changshuixiaowei	30	1000	7000	1	0
610010	虎贲将军	hubenjiangjun	30	2000	8000	1	0
610011	羽林将军	yulinjiangjun	30	5000	10000	1	0
610012	越骑将军	yueqijiangjun	30	8000	12000	1	0
610013	骁骑将军	xiaoqijiangjun	30	10000	15000	1	0
610014	都护将军	duhujiangjun	30	20000	20000	2	0
610015	领军将军	lingjunjiangjun	30	30000	25000	2	0
610016	军师将军	junshijiangjun	40	50000	30000	2	0
610017	右将军	youjiangjun	50	70000	40000	2	0
610018	左将军	zuojiangjun	50	100000	50000	2	0
610019	后将军	houjiangjun	50	130000	60000	3	0
610020	前将军	qianjiangjun	50	160000	70000	3	0
610021	辅军将军	fujunjiangjun	60	200000	80000	3	0
610022	辅国将军	fuguojiangjun	65	250000	90000	4	0
610023	抚军将军	fujunjiangjun	70	300000	100000	4	0
610024	中军将军	zhongjunjiangjun	70	350000	110000	4	0
610025	车骑将军	cheqijiangjun	75	400000	120000	5	0
610026	骠骑将军	piaoqijiangjun	75	450000	130000	5	0
610027	大都督	dadudu	80	500000	150000	5	10
