# 君主等级	累积经验	君主策略值	统兵上限
1	0	0	10000
2	100	0	20000
3	300	0	30000
4	600	0	40000
5	1000	0	50000
6	1500	0	60000
7	2100	0	70000
8	2800	0	80000
9	3600	0	90000
10	4500	0	100000
11	5500	0	110000
12	6600	0	120000
13	7800	0	130000
14	9100	0	140000
15	10500	0	150000
16	12000	0	160000
17	13600	0	170000
18	15300	0	180000
19	17100	0	190000
20	19000	200	200000
21	21000	210	210000
22	23100	220	220000
23	25300	230	230000
24	27600	240	240000
25	30000	250	250000
26	32500	260	260000
27	35100	270	270000
28	37800	280	280000
29	40600	290	290000
30	43500	300	300000
31	46500	310	310000
32	49600	320	320000
33	52800	330	330000
34	56100	340	340000
35	59500	350	350000
36	63000	360	360000
37	66600	370	370000
38	70300	380	380000
39	74100	390	390000
40	78000	400	400000
41	82000	410	410000
42	86100	420	420000
43	90300	430	430000
44	94600	440	440000
45	99000	450	450000
46	103500	460	460000
47	108100	470	470000
48	112800	480	480000
49	117600	490	490000
50	122500	500	500000
51	127500	510	510000
52	132600	520	520000
53	137800	530	530000
54	143100	540	540000
55	148500	550	550000
56	154000	560	560000
57	159600	570	570000
58	165300	580	580000
59	171100	590	590000
60	177000	600	600000
61	183000	610	610000
62	189100	620	620000
63	195300	630	630000
64	201600	640	640000
65	208000	650	650000
66	214500	660	660000
67	221100	670	670000
68	227800	680	680000
69	234600	690	690000
70	241500	700	700000
71	248500	710	710000
72	255600	720	720000
73	262800	730	730000
74	270100	740	740000
75	277500	750	750000
76	285000	760	760000
77	292600	770	770000
78	300300	780	780000
79	308100	790	790000
80	316000	800	800000
81	324000	810	810000
82	332100	820	820000
83	340300	830	830000
84	348600	840	840000
85	357000	850	850000
86	365500	860	860000
87	374100	870	870000
88	382800	880	880000
89	391600	890	890000
90	400500	900	900000
91	409500	910	910000
92	418600	920	920000
93	427800	930	930000
94	437100	940	940000
95	446500	950	950000
96	456000	960	960000
97	465600	970	970000
98	475300	980	980000
99	485100	990	990000
100	495000	1000	1000000
