兵种	级别	名称	形象	近攻	远攻	近防	远防	生命	移动	射程	速度	命中	闪避	格挡	破击	暴击	韧性	技能1	技能2
1	1	轻步兵		260	0	221	260	299	2	1	50	90	0	20	0	5	0	0	0
1	2	轻步兵		320	0	272	320	368	2	1	51	90	0	20	0	5	0	0	0
1	3	轻步兵		380	0	323	380	437	2	1	52	90	0	20	0	5	0	0	0
1	4	重步兵		440	0	374	440	506	2	1	53	90	0	20	0	5	0	1021	0
1	5	重步兵		500	0	425	500	575	2	1	54	90	0	20	0	5	0	1021	0
1	6	重步兵		560	0	476	560	644	2	1	55	90	0	20	0	5	0	1021	0
1	7	近卫兵		620	0	527	620	713	2	1	56	90	0	20	0	5	0	1021	1031
1	8	近卫兵		680	0	578	680	782	2	1	57	90	0	20	0	5	0	1021	1031
1	9	近卫兵		740	0	629	740	851	2	1	58	90	0	20	0	5	0	1021	1031
1	10	近卫兵		800	0	680	800	920	2	1	59	90	0	20	0	5	0	1021	1031
2	1	短弓兵		0	481	143	169	195	2	3	20	90	0	0	0	20	0	0	0
2	2	短弓兵		0	592	176	208	240	2	3	21	90	0	0	0	20	0	0	0
2	3	短弓兵		0	703	209	247	285	2	3	22	90	0	0	0	20	0	0	0
2	4	长弓兵		0	814	242	286	330	2	3	23	90	0	0	0	20	0	2021	0
2	5	长弓兵		0	925	275	325	375	2	3	24	90	0	0	0	20	0	2021	0
2	6	长弓兵		0	1036	308	364	420	2	3	25	90	0	0	0	20	0	2021	0
2	7	神射兵		0	1147	341	403	465	2	3	26	90	0	0	0	20	0	2021	2031
2	8	神射兵		0	1258	374	442	510	2	3	27	90	0	0	0	20	0	2021	2031
2	9	神射兵		0	1369	407	481	555	2	3	28	90	0	0	0	20	0	2021	2031
2	10	神射兵		0	1480	440	520	600	2	3	29	90	0	0	0	20	0	2021	2031
3	1	短枪兵		390	0	195	208	247	2	1	30	100	0	5	0	10	0	0	0
3	2	短枪兵		480	0	240	256	304	2	1	31	100	0	5	0	10	0	0	0
3	3	短枪兵		570	0	285	304	361	2	1	32	100	0	5	0	10	0	0	0
3	4	长枪兵		660	0	330	352	418	2	1	33	100	0	5	0	10	0	3021	0
3	5	长枪兵		750	0	375	400	475	2	1	34	100	0	5	0	10	0	3021	0
3	6	长枪兵		840	0	420	448	532	2	1	35	100	0	5	0	10	0	3021	0
3	7	禁卫兵		930	0	465	496	589	2	1	36	100	0	5	0	10	0	3021	3031
3	8	禁卫兵		1020	0	510	544	646	2	1	37	100	0	5	0	10	0	3021	3031
3	9	禁卫兵		1110	0	555	592	703	2	1	38	100	0	5	0	10	0	3021	3031
3	10	禁卫兵		1200	0	600	640	760	2	1	39	100	0	5	0	10	0	3021	3031
4	1	轻骑兵		416	0	182	195	260	3	1	40	90	15	0	0	10	0	0	0
4	2	轻骑兵		512	0	224	240	320	3	1	41	90	15	0	0	10	0	0	0
4	3	轻骑兵		608	0	266	285	380	3	1	42	90	15	0	0	10	0	0	0
4	4	重骑兵		704	0	308	330	440	3	1	43	90	15	0	0	10	0	4021	0
4	5	重骑兵		800	0	350	375	500	3	1	44	90	15	0	0	10	0	4021	0
4	6	重骑兵		896	0	392	420	560	3	1	45	90	15	0	0	10	0	4021	0
4	7	铁骑兵		992	0	434	465	620	3	1	46	90	15	0	0	10	0	4021	4031
4	8	铁骑兵		1088	0	476	510	680	3	1	47	90	15	0	0	10	0	4021	4031
4	9	铁骑兵		1184	0	518	555	740	3	1	48	90	15	0	0	10	0	4021	4031
4	10	铁骑兵		1280	0	560	600	800	3	1	49	90	15	0	0	10	0	4021	4031
5	1	轻炮车		0	494	130	156	208	1	4	10	80	0	0	0	5	0	0	0
5	2	轻炮车		0	608	160	192	256	1	4	11	80	0	0	0	5	0	0	0
5	3	轻炮车		0	722	190	228	304	1	4	12	80	0	0	0	5	0	0	0
5	4	重炮车		0	836	220	264	352	1	4	13	80	0	0	0	5	0	5021	0
5	5	重炮车		0	950	250	300	400	1	4	14	80	0	0	0	5	0	5021	0
5	6	重炮车		0	1064	280	336	448	1	4	15	80	0	0	0	5	0	5021	0
5	7	霹雳车		0	1178	310	372	496	1	4	16	80	0	0	0	5	0	5021	5031
5	8	霹雳车		0	1292	340	408	544	1	4	17	80	0	0	0	5	0	5021	5031
5	9	霹雳车		0	1406	370	444	592	1	4	18	80	0	0	0	5	0	5021	5031
5	10	霹雳车		0	1520	400	480	640	1	4	19	80	0	0	0	5	0	5021	5031
