# 兵种ID	兵种	级别	名称	兵种图示	近攻	远攻	近防	远防	生命	移动	射程	速度	命中	闪避	格挡	破击	暴击	韧性	技能1	技能2
710101	710100	0	轻步兵	qingbubing	200	0	170	200	230	2	1	50	90	0	20	0	5	0	0	0
710102	710100	1	轻步兵	qingbubing	260	0	221	260	299	2	1	50	90	0	20	0	5	0	0	0
710103	710100	2	轻步兵	qingbubing	320	0	272	320	368	2	1	51	90	0	20	0	5	0	0	0
710104	710100	3	重步兵	zhongbubing	380	0	323	380	437	2	1	52	90	0	20	0	5	0	720101	0
710105	710100	4	重步兵	zhongbubing	440	0	374	440	506	2	1	53	90	0	20	0	5	0	720101	0
710106	710100	5	重步兵	zhongbubing	500	0	425	500	575	2	1	54	90	0	20	0	5	0	720101	0
710107	710100	6	重步兵	zhongbubing	560	0	476	560	644	2	1	55	90	0	20	0	5	0	720101	0
710108	710100	7	近卫兵	jinweibing	620	0	527	620	713	2	1	56	90	0	20	0	5	0	720101	720102
710109	710100	8	近卫兵	jinweibing	680	0	578	680	782	2	1	57	90	0	20	0	5	0	720101	720102
710110	710100	9	近卫兵	jinweibing	740	0	629	740	851	2	1	58	90	0	20	0	5	0	720101	720102
710111	710100	10	近卫兵	jinweibing	800	0	680	800	920	2	1	59	90	0	20	0	5	0	720101	720102
710201	710200	0	短弓兵	duangongbing	0	370	110	130	150	2	3	20	90	0	0	0	20	0	0	0
710202	710200	1	短弓兵	duangongbing	0	481	143	169	195	2	3	20	90	0	0	0	20	0	0	0
710203	710200	2	短弓兵	duangongbing	0	592	176	208	240	2	3	21	90	0	0	0	20	0	0	0
710204	710200	3	长弓兵	changgongbing	0	703	209	247	285	2	3	22	90	0	0	0	20	0	720201	0
710205	710200	4	长弓兵	changgongbing	0	814	242	286	330	2	3	23	90	0	0	0	20	0	720201	0
710206	710200	5	长弓兵	changgongbing	0	925	275	325	375	2	3	24	90	0	0	0	20	0	720201	0
710207	710200	6	长弓兵	changgongbing	0	1036	308	364	420	2	3	25	90	0	0	0	20	0	720201	0
710208	710200	7	神射兵	shenshebing	0	1147	341	403	465	2	3	26	90	0	0	0	20	0	720201	720202
710209	710200	8	神射兵	shenshebing	0	1258	374	442	510	2	3	27	90	0	0	0	20	0	720201	720202
710210	710200	9	神射兵	shenshebing	0	1369	407	481	555	2	3	28	90	0	0	0	20	0	720201	720202
710211	710200	10	神射兵	shenshebing	0	1480	440	520	600	2	3	29	90	0	0	0	20	0	720201	720202
710301	710300	0	短枪兵	duanqiangbing	300	0	150	160	190	2	1	30	100	0	5	0	10	0	0	0
710302	710300	1	短枪兵	duanqiangbing	390	0	195	208	247	2	1	30	100	0	5	0	10	0	0	0
710303	710300	2	短枪兵	duanqiangbing	480	0	240	256	304	2	1	31	100	0	5	0	10	0	0	0
710304	710300	3	长枪兵	changqiangbing	570	0	285	304	361	2	1	32	100	0	5	0	10	0	720301	0
710305	710300	4	长枪兵	changqiangbing	660	0	330	352	418	2	1	33	100	0	5	0	10	0	720301	0
710306	710300	5	长枪兵	changqiangbing	750	0	375	400	475	2	1	34	100	0	5	0	10	0	720301	0
710307	710300	6	长枪兵	changqiangbing	840	0	420	448	532	2	1	35	100	0	5	0	10	0	720301	0
710308	710300	7	禁卫兵	jinweibing	930	0	465	496	589	2	1	36	100	0	5	0	10	0	720301	720302
710309	710300	8	禁卫兵	jinweibing	1020	0	510	544	646	2	1	37	100	0	5	0	10	0	720301	720302
710310	710300	9	禁卫兵	jinweibing	1110	0	555	592	703	2	1	38	100	0	5	0	10	0	720301	720302
710311	710300	10	禁卫兵	jinweibing	1200	0	600	640	760	2	1	39	100	0	5	0	10	0	720301	720302
710401	710400	0	轻骑兵	qingqibing	320	0	140	150	200	3	1	40	90	15	0	0	10	0	0	0
710402	710400	1	轻骑兵	qingqibing	416	0	182	195	260	3	1	40	90	15	0	0	10	0	0	0
710403	710400	2	轻骑兵	qingqibing	512	0	224	240	320	3	1	41	90	15	0	0	10	0	0	0
710404	710400	3	重骑兵	zhongqibing	608	0	266	285	380	3	1	42	90	15	0	0	10	0	720401	0
710405	710400	4	重骑兵	zhongqibing	704	0	308	330	440	3	1	43	90	15	0	0	10	0	720401	0
710406	710400	5	重骑兵	zhongqibing	800	0	350	375	500	3	1	44	90	15	0	0	10	0	720401	0
710407	710400	6	重骑兵	zhongqibing	896	0	392	420	560	3	1	45	90	15	0	0	10	0	720401	0
710408	710400	7	铁骑兵	tieqibing	992	0	434	465	620	3	1	46	90	15	0	0	10	0	720401	720402
710409	710400	8	铁骑兵	tieqibing	1088	0	476	510	680	3	1	47	90	15	0	0	10	0	720401	720402
710410	710400	9	铁骑兵	tieqibing	1184	0	518	555	740	3	1	48	90	15	0	0	10	0	720401	720402
710411	710400	10	铁骑兵	tieqibing	1280	0	560	600	800	3	1	49	90	15	0	0	10	0	720401	720402
710501	710500	0	轻炮车	qingpaoche	0	380	100	120	160	1	4	10	80	0	0	0	5	0	0	0
710502	710500	1	轻炮车	qingpaoche	0	494	130	156	208	1	4	10	80	0	0	0	5	0	0	0
710503	710500	2	轻炮车	qingpaoche	0	608	160	192	256	1	4	11	80	0	0	0	5	0	0	0
710504	710500	3	重炮车	zhongpaoche	0	722	190	228	304	1	4	12	80	0	0	0	5	0	720501	0
710505	710500	4	重炮车	zhongpaoche	0	836	220	264	352	1	4	13	80	0	0	0	5	0	720501	0
710506	710500	5	重炮车	zhongpaoche	0	950	250	300	400	1	4	14	80	0	0	0	5	0	720501	0
710507	710500	6	重炮车	zhongpaoche	0	1064	280	336	448	1	4	15	80	0	0	0	5	0	720501	0
710508	710500	7	霹雳车	piliche	0	1178	310	372	496	1	4	16	80	0	0	0	5	0	720501	720502
710509	710500	8	霹雳车	piliche	0	1292	340	408	544	1	4	17	80	0	0	0	5	0	720501	720502
710510	710500	9	霹雳车	piliche	0	1406	370	444	592	1	4	18	80	0	0	0	5	0	720501	720502
710511	710500	10	霹雳车	piliche	0	1520	400	480	640	1	4	19	80	0	0	0	5	0	720501	720502
