# 部队ID	位置	武将名称	等级	武将图示	将近攻	将远攻	将近防	将远防	兵种类型	兵阶	适性	技能ID	命中修正	闪避修正	格挡修正	破击修正	暴击修正	韧性修正	伤增【步】	伤增【弓】	伤增【枪】	伤增【骑】	伤增【器】	伤减【步】	伤减【弓】	伤减【枪】	伤减【骑】	伤减【器】
1801101	6	黄巾先锋	1	huangjin	10	10	0	0	710300	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1801102	6	黄巾中军	2	huangjin	10	10	0	0	710200	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1801102	7	黄巾中军	2	huangjin	10	10	0	0	710200	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1801103	6	黄巾后军	3	huangjin	10	10	0	0	710200	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1801103	9	黄巾后军	3	huangjin	10	10	0	0	710200	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1801103	10	黄巾后军	3	huangjin	10	10	0	0	710100	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1801104	3	关羽	4	guanyu	300	300	100	100	710400	2	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1801104	6	黄巾副将	4	huangjin	50	50	20	20	710500	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1801104	7	黄巾副将	4	huangjin	50	50	20	20	710500	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1801104	8	程远志	4	chengyuanzhi	100	100	20	20	710300	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1801104	9	黄巾副将	4	huangjin	50	50	20	20	710200	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1801104	10	黄巾副将	4	huangjin	50	50	20	20	710100	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1801105	3	关羽	5	guanyu	300	300	100	100	710400	1	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1801105	5	吕布	5	lvbu	300	300	100	100	710400	1	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1801105	6	黄巾副将	5	huangjin	50	50	20	20	710400	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1801105	7	黄巾副将	5	huangjin	50	50	20	20	710400	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1801105	8	张宝	5	zhangbao	200	200	100	100	710300	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1801105	9	黄巾副将	5	huangjin	50	50	20	20	710400	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1801105	10	黄巾副将	5	huangjin	50	50	20	20	710400	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1803101	6	黄巾前军	6	huangjin	60	60	20	20	710400	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1803101	7	黄巾前军	6	huangjin	60	60	20	20	710400	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1803101	8	黄巾前军	6	huangjin	60	60	20	20	710400	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1803101	9	黄巾前军	6	huangjin	60	60	20	20	710400	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1803101	10	黄巾前军	6	huangjin	60	60	20	20	710400	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1803102	6	黄巾中军	7	huangjin	70	70	20	20	710300	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1803102	7	黄巾中军	7	huangjin	70	70	20	20	710300	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1803102	8	黄巾中军	7	huangjin	70	70	20	20	710300	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1803102	9	黄巾中军	7	huangjin	70	70	20	20	710300	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1803102	10	黄巾中军	7	huangjin	70	70	20	20	710300	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1803103	6	黄巾后军	8	huangjin	100	100	30	30	710200	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1803103	7	黄巾后军	8	huangjin	100	100	30	30	710200	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1803103	8	黄巾后军	8	huangjin	100	100	30	30	710200	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1803103	9	黄巾后军	8	huangjin	100	100	30	30	710200	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1803103	10	黄巾后军	8	huangjin	100	100	30	30	710200	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1803104	6	黄巾副将	9	huangjin	200	200	50	50	710100	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1803104	7	黄巾副将	9	huangjin	200	200	50	50	710200	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1803104	8	张梁	9	zhangliang	300	300	50	50	710300	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1803104	9	黄巾副将	9	huangjin	200	200	50	50	710500	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1803104	10	黄巾副将	9	huangjin	200	200	50	50	710500	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1803105	6	黄巾副将	10	huangjin	300	300	65	65	710300	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1803105	7	黄巾副将	10	huangjin	300	300	65	65	710200	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1803105	8	张角	10	zhangjiao	500	500	65	65	710200	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1803105	9	黄巾副将	10	huangjin	300	300	65	65	710400	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1803105	10	黄巾副将	10	huangjin	300	300	65	65	710500	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1804101	6	营寨一	11	yingzhai	70	70	20	20	710300	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1804101	7	营寨一	11	yingzhai	70	70	20	20	710300	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1804101	8	营寨一	11	yingzhai	70	70	20	20	710300	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1804101	9	营寨一	11	yingzhai	70	70	20	20	710300	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1804101	10	营寨一	11	yingzhai	70	70	20	20	710300	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
