# 战役ID	战斗ID	部队ID	战斗名称	部队兵力	依赖1	依赖2	互斥ID	头像图示	等级	类型	数量限制	君主经验	军功基数	获得装备	获得概率	获得武将	武将概率	城墙位置	城攻数量	城墙耐久	战斗对白
801100	801101	1801101	黄巾先锋	100	0	0	0	huangjin	1	1	10	100	30	0	0	0	0	0	0	0	你，你，你是什么人？
801100	801102	1801102	黄巾先锋	150	801101	0	801103	huangjin	2	1	10	101	31	0	0	0	0	0	0	0	不好，发现敌军，快快向程将军禀报
801100	801103	1801103	黄巾中军	200	801101	0	801102	huangjin	3	1	10	102	32	211601	100	0	0	0	0	0	前军已被突破，中军顶住啊
801100	801104	1801104	程远志	300	801102	801103	0	chengyuanzhi	4	2	5	103	33	0	0	104038	100	12	1	20000	什么人？竟然攻打至此
801100	801105	1801105	张宝	300	801104	0	0	zhangbao	5	3	1	104	34	0	0	0	0	12	2	50000	程将军投敌了？不信，坚决不信，那是我的好基友啊
803100	803101	1803101	黄巾前军	300	0	0	0	huangjin	6	1	10	105	35	0	0	0	0	0	0	0	测试用1
803100	803102	1803102	黄巾中军	350	803101	0	0	huangjin	7	1	10	106	36	0	0	0	0	0	0	0	测试用2
803100	803103	1803103	黄巾后军	400	803102	0	0	huangjin	8	1	10	107	37	0	0	0	0	0	0	0	测试用3
803100	803104	1803104	张梁	500	803103	0	0	zhangliang	9	2	5	108	38	0	0	0	0	0	0	0	测试用4
803100	803105	1803105	张角	500	803104	0	0	zhangjiao	10	3	1	109	39	0	0	0	0	0	0	0	测试用5
804100	804101	1804101	营寨一	510	0	0	0	yingzhai	11	1	10	110	40	0	0	0	0	0	0	0	测试用6
804100	804102	1804102	营寨二	520	804101	0	0	yingzhai	12	2	5	111	41	0	0	0	0	0	0	0	测试用7
804100	804103	1804103	营寨主将	530	804102	0	0	yingzhai	13	3	1	112	42	0	0	0	0	0	0	0	测试用8
805100	805101	1805101	互斥一前军	550	0	0	0	yingzhai	14	1	10	113	43	0	0	0	0	0	0	0	测试用9
805100	805102	1805102	互斥一中军	560	805101	0	0	yingzhai	15	2	5	114	44	0	0	0	0	0	0	0	测试用10
805100	805103	1805103	互斥一主将	570	805102	0	0	yingzhai	16	3	1	115	45	0	0	0	0	0	0	0	测试用11
805200	805201	1805201	互斥二前军	580	0	0	0	yingzhai	14	1	10	116	46	0	0	0	0	0	0	0	测试用12
805200	805202	1805202	互斥二中军	590	805201	0	0	yingzhai	15	2	5	117	47	0	0	0	0	0	0	0	测试用13
805200	805203	1805203	互斥二主将	600	805202	0	0	yingzhai	16	3	1	118	48	0	0	0	0	0	0	0	测试用14
807100	807101	1807101	依赖前军	610	0	0	0	yingzhai	17	1	10	119	49	0	0	0	0	0	0	0	测试用15
807100	807102	1807102	依赖中军	620	807101	0	0	yingzhai	18	2	5	120	50	0	0	0	0	0	0	0	测试用16
807100	807103	1807103	依赖主将	630	807102	0	0	yingzhai	19	3	1	121	51	0	0	0	0	0	0	0	测试用17
