# 科技ID	科技名称	科技图示	科技类别	出现要求（书院）	升级依赖建筑	依赖等级	消耗军功系数	科技数值	科技作用说明	等级上限
520101	奋战	fenzhan	520100	1	510300	2	1	90	每级增加将领近攻90点	50
520102	狙击	juji	520100	1	510300	2	1	80	每级增加将领远攻80点	50
520103	坚韧	jianren	520100	10	510300	2	0.8	60	每级增加将领近防60点	50
520104	大盾	dadun	520100	10	510300	2	0.8	50	每级增加将领远防50点	50
520105	统兵	tongbing	520100	20	510300	2	1.2	30	每级增加将领兵力30	50
520106	指挥	zhihui	520100	60	510300	2	3	50	每级增加将领兵力50	50
520201	步训	buxun	520200	10	511000	10	1	710100	训练更高级的步兵，增加步兵的基础属性	10
520202	弓训	gongxun	520200	10	511000	10	1	710200	训练更高级的弓兵，增加弓兵的基础属性	10
520203	枪训	qiangxun	520200	10	511000	10	1	710300	训练更高级的枪兵，增加枪兵的基础属性	10
520204	骑训	qixun	520200	10	511000	10	1	710400	训练更高级的骑兵，增加骑兵的基础属性	10
520205	器训	qixun	520200	10	511000	10	1	710500	训练更高级的器械，增加器械的基础属性	10
520301	兵役	bingyi	520300	30	510300	4	1	2	每级增加新兵营上限和新兵增长速度2%	25
520302	筑城	zhucheng	520300	30	510300	4	1	2	每级增加战斗后城防回复2%	25
520303	丰收	fengshou	520300	40	510300	4	2	2	每级增加粮草基础收益2%	25
520304	商市	shangshi	520300	40	510300	4	2	2	每级增加铜币基础产量2%	25
520305	医疗	yiliao	520300	50	510300	4	3	2	每级增加战斗后损兵回复2%	25
