# 科技等级	消耗军功（战法）	消耗军功（兵法）	消耗军功（政法）
1	50	500	100
2	100	1500	200
3	150	3000	300
4	200	5000	400
5	250	7500	500
6	300	10500	700
7	350	14000	900
8	400	18000	1100
9	450	22500	1300
10	500	27500	1500
11	600	27500	1900
12	700	27500	2300
13	800	27500	2700
14	900	27500	3100
15	1000	27500	3500
16	1100	27500	4300
17	1200	27500	5100
18	1300	27500	5900
19	1400	27500	6700
20	1500	27500	7500
21	1650	27500	7500
22	1800	27500	7500
23	1950	27500	7500
24	2100	27500	7500
25	2250	27500	7500
26	2400	27500	7500
27	2550	27500	7500
28	2700	27500	7500
29	2850	27500	7500
30	3000	27500	7500
31	3200	27500	7500
32	3400	27500	7500
33	3600	27500	7500
34	3800	27500	7500
35	4000	27500	7500
36	4200	27500	7500
37	4400	27500	7500
38	4600	27500	7500
39	4800	27500	7500
40	5000	27500	7500
41	5300	27500	7500
42	5600	27500	7500
43	5900	27500	7500
44	6200	27500	7500
45	6500	27500	7500
46	6800	27500	7500
47	7100	27500	7500
48	7400	27500	7500
49	7700	27500	7500
50	8000	27500	7500
